__table__,Outlet ID,Outlet Name,KA Manager,Employee ID,Segment,Is Active,Has Fridge,Has Draught,Draught Installed,__empty__,Date,SKU,Sales Unit,Actual Volume,Category,Raw Actual Volume,Crate Equivalent Factor,Target Date,Target Month,Full Month Target,Raw Full Month Target,Target Crate Equivalent Factor,Source Employee ID,Target Owner Mapping,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Is Working Day,KPI,Weight,Included Final,Key,Value
outlets,2614279,Zemena kitifo,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025261,Bambis supermarket,Alemayehu,3359,Off Trade,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2933482,Chuchu supermarket and restaurant,Alemayehu,3359,Off Trade,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2417722,Fantu Supermarket,Alemayehu,3359,Off Trade,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1014435,Lomiyad Supermarket,Alemayehu,3359,Off Trade,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1201359,Pick Pick Supermarket,Alemayehu,3359,Off Trade,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1011662,Shi Abebayehu Supermarket,Alemayehu,3359,Off Trade,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1200753,Nakros bar,London,2526,lounge,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2962083,fun zone  lunge,London,2526,lounge,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2780028,12 Menota lounge,Alemayehu,3359,lounge,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1009964,Liya Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024369,Embilta Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1028182,Sheraton Addis Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1018356,Churchill Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1018357,Eliana Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024290,Ethiopia Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1047705,Extream Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024221,Ghion Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1009195,Haikan Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1235717,Monarch Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024439,Ras Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1017885,Sarim Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001326,Addis view Hotel,London,2526,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001973,Archi Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1237298,Aselefech Mergiya Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1237297,Berlottue Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025299,Elilly International Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1576119,Halle Grand Hotel,London,2526,Hotel,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1026682,Hilton Addis Ababa Hotel,London,2526,Hotel,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1048859,Holiday hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025235,Intercontinental Hotel,London,2526,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025203,Jupiter International Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001215,Pasfic Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025186,Radisson Blue Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1217404,Semen Hotel,London,2526,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2960501,the grand place Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1025334,Top one house,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1048012,Top Ten Hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001971,Yod Abyssinya Hotel,London,2526,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1059068,yadamzewid hotel,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1020357,Winner Hotel,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1013823,Bekansi Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
