Date,Outlet ID,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Outlet Name,KA Manager,Segment
2026-06-04,1027106,1.0,0.0,0.0,0.0,,Ashu Butchery,Chandra,Unspecified
2026-06-04,1048221,1.0,0.0,0.0,0.0,,Fikere Kunespagna lebu,Chandra,Unspecified
2026-06-04,1048516,1.0,1.0,1.0,1.0,1.0,Samra hotel,Netsanet,Unspecified
2026-06-04,1055871,1.0,1.0,1.0,1.0,1.0,Natani,Netsanet,Unspecified
2026-06-04,1067597,1.0,0.0,0.0,0.0,,Mira Feyel kurt,Chandra,Unspecified
2026-06-04,1091718,1.0,1.0,1.0,1.0,1.0,Green Bar and restaurant,Alemayehu,Unspecified
2026-06-04,1118070,1.0,0.0,0.0,0.0,,Bridge lounge,Chandra,Unspecified
2026-06-04,1125087,1.0,1.0,1.0,1.0,1.0,Etiopian Skylight Hotel,Netsanet,Unspecified
2026-06-04,1126157,1.0,1.0,1.0,1.0,1.0,Sherar Addis Hotel,Netsanet,Unspecified
2026-06-04,1202045,1.0,0.0,0.0,0.0,,Haykoch Lounge,Chandra,Unspecified
2026-06-04,1203098,1.0,1.0,1.0,1.0,1.0,2000 Habesha Cultural House No2,Netsanet,Unspecified
2026-06-04,1214967,1.0,1.0,1.0,1.0,1.0,Konark Indian Hotel,Netsanet,Unspecified
2026-06-04,1216866,1.0,1.0,1.0,1.0,1.0,On Time,Alemayehu,Unspecified
2026-06-04,1569906,1.0,0.0,0.0,0.0,,Bella Pasta,Alemayehu,Unspecified
2026-06-04,1571830,1.0,1.0,1.0,1.0,1.0,Mark Addis,Alemayehu,Unspecified
2026-06-04,1573185,1.0,1.0,1.0,1.0,1.0,Sowirad hotel,Netsanet,Unspecified
2026-06-04,1607919,1.0,0.0,0.0,0.0,,Hawinet Kurt and kitfo,Alemayehu,Unspecified
2026-06-04,1756846,1.0,0.0,0.0,0.0,,Be enat elfgne Bucthery,Chandra,Unspecified
2026-06-04,2058545,1.0,0.0,0.0,0.0,,Zemar kurtena Ketfo,Chandra,Unspecified
2026-06-04,2064187,1.0,0.0,0.0,0.0,,Bella Pizza And Pasta,Alemayehu,Unspecified
